상호명,도로명주소,경도,위도
커피향기,서울특별시 성북구 장위로 77-2,127.0455766,37.61399329
이리카페,서울특별시 성북구 화랑로32길 111,127.0592523,37.60593237
오블롱,서울특별시 성북구 보문로 153,127.0172099,37.58824151
그냥그냥,서울특별시 성북구 아리랑로5길 151,127.011177,37.60064889
커피지인,서울특별시 성북구 성북로26길 64,126.9927642,37.59678395
빽다방돈암아리랑점,서울특별시 성북구 아리랑로 75,127.0136227,37.59882863
몰리고;몰리다,서울특별시 성북구 혜화로 88,126.9981883,37.59277474
김민혁커피,서울특별시 성북구 보문로30나길 36,127.0205054,37.59095297
도도화,서울특별시 성북구 아리랑로19길 97,127.0085385,37.60113565
민티,서울특별시 성북구 개운사길 21-3,127.0289281,37.5873112
미스터빈커피,서울특별시 성북구 화랑로 103,127.0430676,37.60372295
제이앤케이프레시,서울특별시 성북구 서경로 124,127.013569,37.61540685
카페스윗정릉점,서울특별시 성북구 보국문로 37,127.0098983,37.60788396
캔캔컴퍼니,서울특별시 성북구 종암로22길 34-16,127.0364638,37.60053567
이모티프커피바,서울특별시 성북구 보문로 187,127.014493,37.59040426
에셀나무,서울특별시 성북구 성북로4길 21,127.006001,37.58998153
컴포즈석관,서울특별시 성북구 돌곶이로18길 4,127.0592435,37.60907683
빽다방석계,서울특별시 성북구 한천로78길 63,127.0648645,37.61325446
성북동콩집,서울특별시 성북구 성북로 58,127.0024118,37.59287384
투영프로젝숀,서울특별시 성북구 보국문로38길 20,126.9989806,37.61891247
카페차이길음뉴타운점,서울특별시 성북구 길음로 33,127.0220155,37.6050442
아마스빈동덕여대점,서울특별시 성북구 화랑로13길 28,127.0422867,37.60459719
스터디101,서울특별시 성북구 종암로21길 128,127.0304859,37.60350162
메가엠지씨커피종암,서울특별시 성북구 종암로27길 13,127.0314368,37.60264543
커피디미방,서울특별시 성북구 솔샘로25길 20,127.0081212,37.61694804
뮈에,서울특별시 성북구 돌곶이로 205,127.046961,37.61807422
커피에반하다,서울특별시 성북구 오패산로10길 30,127.0384366,37.60513009
하이오커피돈암점,서울특별시 성북구 동소문로 186,127.0220136,37.59859311
햇살속으로,서울특별시 성북구 정릉로 346,127.0213916,37.60153045
카페프리헷,서울특별시 성북구 종암로19길 47,127.0321255,37.59783396
공차고대안암,서울특별시 성북구 안암로 145,127.0316913,37.58869802
푸른초장쉴만한물가,서울특별시 성북구 성북로 131,126.9946668,37.59432434
탐앤탐스정릉점,서울특별시 성북구 보국문로 33,127.0101247,37.60737938
복고다방,서울특별시 성북구 종암로 99,127.0341078,37.59921192
스스쿠,서울특별시 성북구 고려대로11길 65,127.020335,37.58887171
꽃이피움,서울특별시 성북구 화랑로13길 60,127.0411781,37.60681402
티앤제이카페,서울특별시 성북구 종암로21길 89,127.0316064,37.60207776
메가엠지씨커피정릉아리랑점,서울특별시 성북구 북악산로 850,127.0183901,37.59897215
알콩달콩,서울특별시 성북구 동소문로24길 27,127.0189546,37.59241284
도이타로카페,서울특별시 성북구 동소문로22길 33,127.0181505,37.59157504
투썸플레이스,서울특별시 성북구 동소문로20다길 17,127.0176976,37.59196254
숲,서울특별시 성북구 보국문로 180,127.0014498,37.61763306
빽다방종암,서울특별시 성북구 종암로 132,127.0335201,37.60191506
밀플렉스,서울특별시 성북구 성북로 76,127.0004416,37.59356763
조셉의커피나무,서울특별시 성북구 성북로31길 65,126.9886088,37.59460322
브릭스,서울특별시 성북구 보문로39길 4,127.013225,37.59142253
작은식당,서울특별시 성북구 한천로78길 19,127.0635154,37.61168748
십육페이지,서울특별시 성북구 돌곶이로 220,127.0465877,37.61889427
정이정,서울특별시 성북구 종암로 82-15,127.0359303,37.59790494
투비어라운드유,서울특별시 성북구 안암로3길 73,127.0220993,37.58191573
리틀빈스,서울특별시 성북구 화랑로11길 21,127.0415725,37.603282
위핑윌로우,서울특별시 성북구 솔샘로4길 8,127.005255,37.60854198
커피에반하다하월곡동점,서울특별시 성북구 오패산로13길 17,127.035527,37.60698705
까쉬,서울특별시 성북구 보문로34길 72-5,127.019543,37.59098017
요거프레소국민대점,서울특별시 성북구 솔샘로1길 20,127.0035562,37.60831679
르한스미니카페,서울특별시 성북구 성북로 55-1,127.0021174,37.59250444
베오베아리카페한국어교육관,서울특별시 성북구 종암로 13,127.0353274,37.59217482
빽다방길음롯데클라시아점,서울특별시 성북구 숭인로8길 80,127.027102,37.60944898
이디야커피,서울특별시 성북구 정릉로 251,127.0119137,37.6047213
성북동350,서울특별시 성북구 성북로31길 84,126.9881786,37.5942608
초코라떼꼰츄로,서울특별시 성북구 성북로 75,127.0005888,37.59319822
일상,서울특별시 성북구 성북로 106,126.9972032,37.59308106
아릇간,서울특별시 성북구 화랑로18길 34,127.0496712,37.60574758
나를위한하루날위한커피,서울특별시 성북구 종암로9길 20,127.034412,37.59587816
스페이스바,서울특별시 성북구 보문로19길 7,127.0204465,37.58242959
씨유삼선동4가점,서울특별시 성북구 삼선교로 69,127.0132133,37.58937728
커피바실리아,서울특별시 성북구 고려대로 1,127.0196322,37.58559221
한라산도새기&커피팔다,서울특별시 성북구 아리랑로19길 79,127.0096256,37.60132477
이디야동덕여대점,서울특별시 성북구 화랑로 99,127.0426938,37.60348883
본카페,서울특별시 성북구 삼선교로 54,127.0117752,37.58849446
칼디카파,서울특별시 성북구 동소문로26다길 34,127.0205066,37.59530476
라운지223,서울특별시 성북구 장월로23길 47-3,127.046428,37.61701127
쎄제르카페,서울특별시 성북구 성북로18길 10,126.9997056,37.59382892
카페쿠피,서울특별시 성북구 보국문로 68,127.0094456,37.61046082
앙시엔,서울특별시 성북구 종암로34길 12,127.0324456,37.60490665
이디야커피석관동점,서울특별시 성북구 돌곶이로8길 22,127.0622652,37.60654349
이디아커피석계,서울특별시 성북구 화랑로40길 61,127.0649443,37.61377699
더로스팅,서울특별시 성북구 정릉로36길 88,127.0138498,37.60248663
올리브동소문점,서울특별시 성북구 동소문로17길 13,127.0147992,37.59308017
시와,서울특별시 성북구 동소문로23길 40-1,127.0166113,37.59503508
카페위로;한모금,서울특별시 성북구 고려대로5길 89,127.0178781,37.5890433
시스터커피,서울특별시 성북구 오패산로3길 38,127.0359452,37.60525702
커피에반하다돌곶이역점,서울특별시 성북구 돌곶이로23길 3,127.0575906,37.60993359
커피베이,서울특별시 성북구 월곡로 108,127.0415829,37.60159715
설빙,서울특별시 성북구 고려대로24길 14,127.0292105,37.5856533
스틸커피,서울특별시 성북구 고려대로8길 23,127.0216586,37.58488008
듀드롭르봉땅,서울특별시 성북구 서경로 79,127.0145195,37.61032516
드디어고려대점,서울특별시 성북구 안암로 145,127.0316913,37.58869802
베이커스코드,서울특별시 성북구 동소문로 9-1,127.0071558,37.58913453
커피앤,서울특별시 성북구 동소문로20나길 6,127.0169729,37.59185453
이디야커피하월곡동점,서울특별시 성북구 오패산로 16,127.0375638,37.60366176
수연산방,서울특별시 성북구 성북로26길 8,126.9948366,37.59505415
카,서울특별시 성북구 월곡로14길 24,127.0414687,37.59985827
놀숲고대,서울특별시 성북구 개운사길 8,127.0295733,37.58698668
공유KYOUYUU,서울특별시 성북구 보문로18길 10,127.0218729,37.58198785
빽다방돈암점,서울특별시 성북구 동소문로 113,127.0174602,37.59344921
스펙스커피바,서울특별시 성북구 동소문로 86-17,127.0152518,37.59151238
카페마노아CAFEMANOA,서울특별시 성북구 보문로34길 51,127.0181277,37.59092633
카페브랑코,서울특별시 성북구 화랑로 245,127.0565267,37.61089816
버클리쿠키,서울특별시 성북구 동소문로11길 5,127.0119116,37.59158485
탐앤탐스,서울특별시 성북구 동소문로22길 15,127.0178336,37.59237697
어나더에이치,서울특별시 성북구 장월로1길 56-9,127.0446093,37.60628119
길음로12,서울특별시 성북구 길음로 12,127.0237707,37.60453931
할리스커피,서울특별시 성북구 동소문로20가길 28,127.0179016,37.59275538
베브릿지고려대점,서울특별시 성북구 고려대로27길 19,127.0296753,37.58722091
왓플,서울특별시 성북구 북악산로 906,127.0223073,37.59601622
조이,서울특별시 성북구 지봉로24길 76,127.0204916,37.58188899
동소문피스커피,서울특별시 성북구 동소문로17길 29-2,127.0152862,37.59382793
유목,서울특별시 성북구 동소문로24길 47,127.0187619,37.59161099
모모양과,서울특별시 성북구 화랑로11길 23,127.0416745,37.60341711
커피명가안암점,서울특별시 성북구 안암로5길 40,127.0234915,37.58087931
델리35,서울특별시 성북구 삼선교로16길 35,127.0121375,37.58801689
디에스와이컴퍼니알루엣,서울특별시 성북구 서경로 60,127.015697,37.60873026
이디야커피장위,서울특별시 성북구 장위로 35,127.0407859,37.61446356
이디야,서울특별시 성북구 오패산로 99,127.0351663,37.61075329
카페더베러,서울특별시 성북구 회기로 7-1,127.0373199,37.59140836
펠리체,서울특별시 성북구 보국문로32길 5,127.0025485,37.61734473
매머드익스프레스MAMMOTHEXPRESS고대,서울특별시 성북구 개운사길 22-6,127.0296754,37.58734705
오오티,서울특별시 성북구 화랑로32가길 9,127.0559479,37.60920458
맨케이브커피,서울특별시 성북구 보문로34길 94,127.0205395,37.59123227
까페부오노,서울특별시 성북구 회기로 5-15,127.0370031,37.59200311
엠오리진,서울특별시 성북구 삼양로 38,127.0240318,37.60645836
카페브릭스,서울특별시 성북구 정릉로26길 6-5,127.0106226,37.60445112
지하서재,서울특별시 성북구 보국문로18길 34,127.0105216,37.61108242
카페트리,서울특별시 성북구 성북로4길 52,127.0127047,37.59446794
커피테크,서울특별시 성북구 동소문로44길 43,127.0303965,37.60652897
오름1077,서울특별시 성북구 삼양로2길 6-6,127.0250618,37.60493548
정인카페로뎀,서울특별시 성북구 서경로6길 70,127.0194452,37.60665742
커피나무,서울특별시 성북구 보문로30길 79,127.0196902,37.59104321
뮤츄얼,서울특별시 성북구 성북로 24,127.004563,37.59020684
로제또,서울특별시 성북구 보문로34길 72,127.0193166,37.59108832
스튜디오에이엠,서울특별시 성북구 안암로5길 72,127.0227333,37.58222194
유정원카페,서울특별시 성북구 보문로30라길 23,127.0185123,37.58964686
마스터빈스커피,서울특별시 성북구 동소문로24가길 21,127.019679,37.59158381
프롬하츠커피보문파크뷰자이,서울특별시 성북구 보문사길 111,127.0178879,37.58287149
에테르',서울특별시 성북구 화랑로21길 60,127.0520064,37.60890004
텐퍼센트커피,서울특별시 성북구 오패산로 59,127.0362407,37.60746435
그라찌에한성대학교점,서울특별시 성북구 삼선교로16길 116,127.0103932,37.58323279
카페프리헷동덕여대점,서울특별시 성북구 화랑로13길 75,127.0407249,37.60634566
별콩다방,서울특별시 성북구 장월로 136,127.0502905,37.61724394
고려대현대차경영관점블루포트,서울특별시 성북구 안암로 145,127.0316913,37.58869802
카페문도,서울특별시 성북구 장위로 27,127.0396193,37.61442791
아트하이,서울특별시 성북구 정릉로21길 18,127.009094,37.60660462
먼셀커피,서울특별시 성북구 동소문로44길 43,127.0303965,37.60652897
하루에,서울특별시 성북구 돌곶이로14길 19,127.0608173,37.60861652
커피베이상,서울특별시 성북구 화랑로18길 25-38,127.0509972,37.6070985
Coffe소,서울특별시 성북구 고려대로24길 48,127.0292891,37.58400447
브루밸류,서울특별시 성북구 화랑로32길 68-1,127.0578945,37.60751879
행복한북까페,서울특별시 성북구 오패산로3길 153,127.0326176,37.60979897
소마,서울특별시 성북구 성북로 89-1,126.998879,37.59290089
카페연,서울특별시 성북구 화랑로19길 70-14,127.0510778,37.60902659
나의우주,서울특별시 성북구 동소문로22길 57-17,127.0193165,37.59082703
아틀리에하모니,서울특별시 성북구 보문로 77-1,127.0207974,37.58210517
카페바이트미,서울특별시 성북구 장월로1길 31,127.0461725,37.60687524
스윗,서울특별시 성북구 성북로2길 35,127.0076427,37.58975619
더홈서울,서울특별시 성북구 고려대로1길 87,127.0173912,37.58886317
아리카페,서울특별시 성북구 안암로 145,127.0316913,37.58869802
카페나누기,서울특별시 성북구 돌곶이로22길 14,127.0587799,37.61004112
성북동연우재,서울특별시 성북구 성북로 15-6,127.0044271,37.58942298
카페차이장위뉴타운점,서울특별시 성북구 돌곶이로 211,127.0462816,37.61841687
투썸플레이스,서울특별시 성북구 길음로 6,127.0243029,37.60428692
카페플라워,서울특별시 성북구 보문로30길 40-6,127.0198595,37.58905199
브라운브릭스,서울특별시 성북구 종암로23길 35,127.0297476,37.59815894
솔샘로58,서울특별시 성북구 솔샘로24길 58,127.0096839,37.61363229
메가엠지씨커피석관점,서울특별시 성북구 돌곶이로 27,127.0609744,37.60678743
데이롱카페정릉국민대점,서울특별시 성북구 정릉로10길 47,126.9995017,37.60771318
알엔비스커피,서울특별시 성북구 월계로40길 7,127.0484027,37.62294798
라라제이,서울특별시 성북구 돌곶이로22길 8,127.0583834,37.6099332
더치앤빈북서울꿈의숲점,서울특별시 성북구 돌곶이로 220,127.0465311,37.61898439
